#NET STA   CHA LOC    LAT      LON       ELEV ONDATE     OFFDATE 
CE  00022 HNZ  --  32.73900 -114.63570    40 1999/12/01 3000/01/01
CE  01711 HNZ  --  32.77970 -115.56750    -7 2002/12/10 3000/01/01
CE  01794 HNZ  --  32.77380 -115.44860    -4 2007/02/06 3000/01/01
CE  02140 HNZ  --  32.81350 -116.97540   119 2002/11/06 3000/01/01
CE  02143 HNZ  --  32.83990 -116.97410   108 2002/11/06 3000/01/01
CE  02143 HNZ  --  32.84000 -116.97400   108 2001/08/20 2002/11/06
CE  02467 HNZ  --  32.83790 -116.77490   527 1999/12/16 3000/01/01
CE  02496 HNZ  --  32.65110 -116.36560  1009 2011/05/16 3000/01/01
CE  02498 HNZ  --  32.61950 -116.19210   860 2011/05/17 3000/01/01
CE  02501 HNZ  --  32.99210 -116.58580  1430 2011/12/06 3000/01/01
CE  03121 HNZ  --  32.74880 -117.24180    11 2005/01/18 3000/01/01
CE  03121 HNZ  --  32.74900 -117.24100    11 2004/01/01 2005/01/18
CE  03139 HNZ  --  32.77360 -117.00130   179 2002/11/06 3000/01/01
CE  03139 HNZ  --  32.77400 -117.00100   179 2001/08/20 2002/11/05
CE  03145 HNZ  --  32.70960 -117.15790    11 2005/05/19 3000/01/01
CE  03145 HNZ  --  32.71000 -117.15800    11 2001/08/27 2005/05/18
CE  03146 HNZ  --  32.72960 -117.16930    18 2002/11/06 3000/01/01
CE  03146 HNZ  --  32.72990 -117.16900    18 2001/08/27 2002/11/06
CE  03147 HNZ  --  32.70160 -117.11990    14 2002/11/05 3000/01/01
CE  03148 HNZ  --  32.73500 -117.08000    79 2002/11/06 2005/05/30
CE  03148 HNZ  --  32.73540 -117.08000    79 2005/05/31 3000/01/01
CE  03150 HNZ  --  32.79490 -117.25530     5 2005/05/18 3000/01/01
CE  03150 HNZ  --  32.79500 -117.25500     5 2002/11/07 2005/05/17
CE  03151 HNZ  --  32.82200 -117.17500   118 2004/03/23 2005/05/17
CE  03151 HNZ  --  32.82210 -117.17460   118 2005/05/18 3000/01/01
CE  03152 HNZ  --  32.70970 -117.00680    79 2002/11/06 3000/01/01
CE  03154 HNZ  --  32.75350 -117.09680   104 2002/11/06 3000/01/01
CE  03155 HNZ  --  32.69200 -117.03720   143 2005/05/24 3000/01/01
CE  03155 HNZ  --  32.69200 -117.03700   143 2002/11/06 2005/05/23
CE  03156 HNZ  --  32.91500 -117.14200   131 2002/11/07 2005/05/17
CE  03156 HNZ  --  32.91540 -117.14230   131 2005/05/18 3000/01/01
CE  03234 HNZ  --  32.87700 -117.22600   103 2004/04/17 2010/12/01
CE  03234 HNZ  --  32.87730 -117.22710   103 2010/12/01 2012/04/03
CE  03260 HNZ  --  32.95450 -117.04160   149 2005/01/26 3000/01/01
NP  1002  HNZ  --  37.52886 -122.25522     2 2000/04/13 3000/01/01
CE  10021 HNZ  --  33.60990 -114.71510   119 1999/11/30 3000/01/01
NP  1003  HNZ  --  37.49403 -122.29770     0 2005/04/14 2011/08/05
NP  1003  HNZ  --  37.49403 -122.29770   268 2011/08/05 3000/01/01
NP  1023  HNZ  --  40.57616 -124.26367    16 1999/12/17 3000/01/01
NP  1083  HNZ  0B  35.28427 -120.66101     0 1992/09/22 1999/04/17
NP  1083  HNZ  0B  35.28427 -120.66101    80 1999/04/17 3000/01/01
TA  109C  BHZ  --  32.88890 -117.10510   150 2004/05/04 2008/09/12
TA  109C  LHZ  --  32.88890 -117.10510   150 2004/05/04 2008/09/12
CE  11023 HNZ  --  33.23890 -115.51280   -42 2002/11/21 3000/01/01
CE  11217 HNZ  --  33.51080 -115.91980   -62 2004/03/24 3000/01/01
CE  11369 HNZ  --  33.03700 -115.62350   -49 2002/11/21 3000/01/01
CE  11625 HNZ  --  33.56410 -115.98760     9 2005/01/25 3000/01/01
CE  11684 HNZ  --  33.39800 -115.65700     3 1996/12/18 3000/01/01
CE  12025 HNZ  --  33.82940 -116.51250   131 1999/10/20 3000/01/01
CE  12076 HNZ  --  33.67810 -116.17840   -19 2005/01/24 3000/01/01
CE  12092 HNZ  --  33.48180 -116.91140   501 2002/10/24 3000/01/01
CE  12102 HNZ  --  33.78690 -116.95920   475 2002/10/25 3000/01/01
CE  12108 HNZ  --  33.81490 -116.46120   109 2002/04/11 3000/01/01
CE  12116 HNZ  --  33.74710 -116.71520  1635 2002/10/25 3000/01/01
CE  12149 HNZ  --  33.96200 -116.50900   326 1995/02/22 3000/01/01
CE  12168 HNZ  --  33.32420 -116.68410   908 2005/01/12 3000/01/01
CE  12188 HNZ  --  33.60490 -116.93800   772 2002/12/03 2011/04/27
CE  12188 HNZ  --  33.60510 -116.93790   772 2011/04/27 3000/01/01
CE  12202 HNZ  --  33.76020 -116.96140   487 2005/06/15 3000/01/01
CE  12206 HNZ  --  33.85130 -116.85300  1098 2001/10/03 3000/01/01
NP  1225  HNZ  0B  37.78268 -122.50482   106 2004/07/15 3000/01/01
CE  12330 HNZ  --  33.35360 -116.86260  1686 2005/09/20 3000/01/01
CE  12331 HNZ  --  33.72890 -116.97970   480 1997/09/10 3000/01/01
CE  12492 HNZ  --  33.26170 -116.37220   179 2011/05/11 3000/01/01
