CE 23732 HNZ  -- 34.223900 -117.331000
CE 24853 HNZ  -- 34.077400 -118.286500
CI LJR HHZ  -- 34.807620 -118.867750
AZ CRY HHZ  -- 33.565400 -116.737300
AZ KNW HHZ  -- 33.714100 -116.711900
AZ SND HHZ  -- 33.551900 -116.612900
AZ SOL HHZ  -- 32.841000 -117.248000
AZ SOL HNZ  -- 32.841000 -117.248000
AZ TRO HHZ  -- 33.523400 -116.425700
AZ PFO HHZ  -- 33.611700 -116.459400
AZ RDM HHZ  -- 33.630000 -116.847800
AZ WMC HHZ  -- 33.573600 -116.674700
AZ FRD HHZ  -- 33.494700 -116.602200
AZ HWB HHZ  -- 33.026200 -116.959600
AZ LVA2 HHZ  -- 33.351600 -116.561500
CI EDW2 HHZ  -- 34.881100 -117.993880
AZ BZN HHZ  -- 33.491500 -116.667000
CI PASC HHZ  -- 34.171410 -118.185230
CI SCI2 HHZ  -- 32.979900 -118.546970
AZ MONP2 HHZ  -- 32.892000 -116.422300
AZ MONP2 HNZ  -- 32.892000 -116.422300
CI PASC HNZ  -- 34.171410 -118.185230
CI GMR HHZ  -- 34.784570 -115.659940
CI BCW HHZ  -- 34.940090 -119.413130
CI JEM HHZ  -- 33.080980 -116.597550
AZ CPE HNZ  -- 32.888900 -117.105100
AZ CPE HHZ  -- 32.888900 -117.105100
CI CAC HNZ  -- 34.136780 -118.121990
CI MIS HNZ  -- 33.740300 -118.335170
CI KML HNZ  -- 33.597380 -117.879090
CI CRN HNZ  -- 33.875740 -117.561060
CI SMV HNZ  -- 34.270910 -118.744070
CI FON HNZ  -- 34.099570 -117.438760
CI FUL HNZ  -- 33.871700 -117.922510
CI NOT HNZ  -- 34.228690 -118.558290
CI USB HNZ  -- 34.413000 -119.842700
CI HLN HNZ  -- 34.121280 -117.218970
CI AGO HNZ  -- 34.146470 -118.766990
CI GATR HHZ  -- 34.552660 -120.502350
CI BLY HHZ  -- 33.750340 -114.523750
CI DSC HHZ  -- 35.142550 -116.103950
CI SBPX HHZ  -- 34.232400 -117.234840
CI SMW HHZ  -- 35.011080 -120.409970
CI BHP HHZ  -- 33.990530 -118.361710
CI BHP HNZ  -- 33.990530 -118.361710
CI LMR2 HHZ  -- 34.934390 -117.696290
CI KIK HNZ  -- 34.150370 -118.101560
CI USC HNZ  -- 34.019190 -118.286310
CI USC HHZ  -- 34.019190 -118.286310
CI BFS HHZ  -- 34.238830 -117.658530
CI DGR HHZ  -- 33.650010 -117.009470
CI DGR HNZ  -- 33.650010 -117.009470
CI BOR HHZ  -- 33.268200 -116.417160
CI RPV HNZ  -- 33.743460 -118.404120
CI PER HHZ  -- 33.861640 -117.205290
CI GSC HHZ  -- 35.301770 -116.805740
CI MPI HHZ  -- 34.812580 -119.145300
CI ISA HNZ  -- 35.662780 -118.474030
CI PHL HHZ  -- 35.407730 -120.545560
AZ MTRP HNZ  -- 32.820300 -117.056700
AZ BZN HNZ  -- 33.491500 -116.667000
AZ KNW HNZ  -- 33.714100 -116.711900
AZ HWB HNZ  -- 33.026200 -116.959600
CI BFS HNZ  -- 34.238830 -117.658530
BK WENL HNZ  -- 37.622110 -121.756970
BK ORV HHZ  -- 39.554510 -121.500360
BK ORV HNZ  -- 39.554510 -121.500360
CI MPM HHZ  -- 36.057990 -117.489010
CI MPM HNZ  -- 36.057990 -117.489010
CI SMR HNZ  -- 35.376990 -120.612470
AZ LVA2 HNZ  -- 33.351600 -116.561500
AZ SND HNZ  -- 33.551900 -116.612900
AZ PFO HNZ  -- 33.611700 -116.459400
AZ RDM HNZ  -- 33.630000 -116.847800
AZ WMC HNZ  -- 33.573600 -116.674700
AZ TRO HNZ  -- 33.523400 -116.425700
AZ CRY HNZ  -- 33.565400 -116.737300
AZ FRD HNZ  -- 33.494700 -116.602200
BK CVS HHZ  -- 38.345260 -122.458400
BK CVS HNZ  -- 38.345260 -122.458400
CI BOR HNZ  -- 33.268200 -116.417160
CI IDO HNZ  -- 33.796780 -116.221520
CI SWS HNZ  -- 32.945080 -115.799880
CI SWS HHZ  -- 32.945080 -115.799880
CI WES HHZ  -- 32.759040 -115.731610
BK SAO HNZ  -- 36.764030 -121.447220
CI LCP HNZ  -- 34.735510 -120.279960
CI LCP HHZ  -- 34.735510 -120.279960
CI LDR HHZ  -- 34.990600 -118.341560
CI DNR HHZ  -- 33.566670 -116.630560
CI NBS HNZ  -- 34.780350 -116.557980
CI NBS HHZ  -- 34.780350 -116.557980
CI SES HHZ  -- 34.436920 -119.137500
CI SES HNZ  -- 34.436920 -119.137500
CI SYP HNZ  -- 34.527750 -119.978340
CI SYP HHZ  -- 34.527750 -119.978340
CI WGR HHZ  -- 34.510850 -119.274070
CI WGR HNZ  -- 34.510850 -119.274070
CI FIG HNZ  -- 34.728320 -119.988030
CI FIG HHZ  -- 34.728320 -119.988030
BK HOPS HHZ  -- 38.993490 -123.072340
BK HOPS HNZ  -- 38.993490 -123.072340
CI TFT HNZ  -- 35.145920 -119.419460
CI TFT HHZ  -- 35.145920 -119.419460
CI PLM HNZ  -- 33.353610 -116.862650
CI IDO HHZ  -- 33.796780 -116.221520
CI RVR HHZ  -- 33.993510 -117.375450
CI RVR HNZ  -- 33.993510 -117.375450
CI MLAC HNZ  -- 37.630190 -118.836050
CI MLAC HHZ  -- 37.630190 -118.836050
CI TIN HHZ  -- 37.054220 -118.230090
CI TIN HNZ  -- 37.054220 -118.230090
CI SBC HHZ  -- 34.440760 -119.714920
CI SBC HNZ  -- 34.440760 -119.714920
BK JRSC HNZ  -- 37.403730 -122.238680
BK JRSC HHZ  -- 37.403730 -122.238680
CI GRA HHZ  -- 36.996080 -117.366210
CI LGU HHZ  -- 34.108190 -119.065870
CI LGU HNZ  -- 34.108190 -119.065870
CI TUQ HNZ  -- 35.435840 -115.923890
CI FHO HHZ  -- 34.093550 -116.935880
CI CGO HHZ  -- 36.550400 -117.802950
CI CGO HNZ  -- 36.550400 -117.802950
CI BEL HNZ  -- 34.000600 -115.998200
CI BEL HHZ  -- 34.000600 -115.998200
CI LBW1 HNZ  -- 33.798000 -118.088370
CI CAR HNZ  -- 35.308190 -119.845830
CI CAR HHZ  -- 35.308190 -119.845830
CI WSS HHZ  -- 34.171700 -118.649710
CI FMP HHZ  -- 33.712640 -118.293810
CI FMP HNZ  -- 33.712640 -118.293810
CI OLP HNZ  -- 32.607830 -116.930360
CI OLP HHZ  -- 32.607830 -116.930360
CI BTP HNZ  -- 34.682240 -118.573980
CI BTP HHZ  -- 34.682240 -118.573980
CI EML HNZ  -- 32.890830 -116.845660
CI PDR HHZ  -- 33.962730 -118.437020
CI PDR HNZ  -- 33.962730 -118.437020
CI JRC2 HHZ  -- 35.982490 -117.808850
BK JCC HNZ  -- 40.817450 -124.029550
BK JCC HHZ  -- 40.817450 -124.029550
CI SMM HNZ  -- 35.314200 -119.995810
CI DPP HNZ  -- 32.998620 -116.941530
CI DPP HHZ  -- 32.998620 -116.941530
CI SRI HNZ  -- 33.978750 -120.078860
CI SBB2 HNZ  -- 34.688440 -117.824240
CI SBB2 HHZ  -- 34.688440 -117.824240
CI SNO HNZ  -- 34.035150 -116.807780
CI SNO HHZ  -- 34.035150 -116.807780
CI SBPX HNZ  -- 34.232400 -117.234840
CI PDU HNZ  -- 34.120700 -117.638080
CI PDU HHZ  -- 34.120700 -117.638080
CI STC HHZ  -- 34.303020 -119.186760
CI STC HNZ  -- 34.303020 -119.186760
CI BLY HNZ  -- 33.750340 -114.523750
CI MSC HNZ  -- 34.038520 -116.647950
CI DJJ HHZ  -- 34.106180 -118.455050
CI DJJ HNZ  -- 34.106180 -118.455050
CI LRL HHZ  -- 35.479540 -117.682120
CI LRL HNZ  -- 35.479540 -117.682120
CI CCC HNZ  -- 35.524950 -117.364530
CI CCC HHZ  -- 35.524950 -117.364530
CI WWC HNZ  -- 33.940680 -116.408760
CI FHO HNZ  -- 34.093550 -116.935880
CI SVD HNZ  -- 34.106470 -117.098220
CI ALP HNZ  -- 34.687080 -118.299460
