Latitude,Longitude,Ampli I,Ampli I generic,delta_log_pga,ampli_pga
45.704,6.15,-0.31,0.16,0.062015504,1.153494436
45.719,6.7275,-0.31,0.16,0.062015504,1.153494436
45.719,6.7825,-0.31,0.16,0.062015504,1.153494436
45.719,6.81,-0.31,0.16,0.062015504,1.153494436
45.719,6.8925,-0.31,0.16,0.062015504,1.153494436
45.733,6.7825,-0.31,0.16,0.062015504,1.153494436
45.733,6.81,-0.31,0.16,0.062015504,1.153494436
45.733,6.8925,-0.31,0.16,0.062015504,1.153494436
45.733,6.9475,-0.31,0.16,0.062015504,1.153494436
45.748,6.315,-0.31,0.16,0.062015504,1.153494436
45.748,6.3425,-0.31,0.16,0.062015504,1.153494436
45.748,6.81,-0.31,0.16,0.062015504,1.153494436
45.748,6.8375,-0.31,0.16,0.062015504,1.153494436
45.748,6.8925,-0.31,0.16,0.062015504,1.153494436
45.748,6.92,-0.31,0.16,0.062015504,1.153494436
45.748,6.9475,-0.31,0.16,0.062015504,1.153494436
45.748,6.975,-0.31,0.16,0.062015504,1.153494436
45.762,6.8375,-0.31,0.16,0.062015504,1.153494436
45.762,6.865,-0.31,0.16,0.062015504,1.153494436
45.762,6.8925,-0.31,0.16,0.062015504,1.153494436
45.762,6.9475,-0.31,0.16,0.062015504,1.153494436
45.762,6.975,-0.31,0.16,0.062015504,1.153494436
45.777,6.37,-0.31,0.16,0.062015504,1.153494436
45.806,7.03,-0.31,0.16,0.062015504,1.153494436
45.82,7.0575,-0.31,0.16,0.062015504,1.153494436
45.82,7.1125,-0.31,0.16,0.062015504,1.153494436
45.82,8.7625,-0.31,0.16,0.062015504,1.153494436
45.835,7.085,-0.31,0.16,0.062015504,1.153494436
45.849,6.315,-0.31,0.16,0.062015504,1.153494436
45.849,6.3975,-0.31,0.16,0.062015504,1.153494436
45.864,6.3425,-0.31,0.16,0.062015504,1.153494436
45.864,6.37,-0.31,0.16,0.062015504,1.153494436
45.864,6.3975,-0.31,0.16,0.062015504,1.153494436
45.878,6.3425,-0.31,0.16,0.062015504,1.153494436
45.878,6.37,-0.31,0.16,0.062015504,1.153494436
45.878,6.3975,-0.31,0.16,0.062015504,1.153494436
45.878,7.1125,-0.31,0.16,0.062015504,1.153494436
45.893,6.3425,-0.31,0.16,0.062015504,1.153494436
45.893,6.3975,-0.31,0.16,0.062015504,1.153494436
45.893,6.425,-0.31,0.16,0.062015504,1.153494436
45.893,6.4525,-0.31,0.16,0.062015504,1.153494436
45.907,6.37,-0.31,0.16,0.062015504,1.153494436
45.907,6.3975,-0.31,0.16,0.062015504,1.153494436
45.922,6.1775,-0.31,0.16,0.062015504,1.153494436
45.922,6.205,-0.31,0.16,0.062015504,1.153494436
45.922,6.3975,-0.31,0.16,0.062015504,1.153494436
45.922,6.425,-0.31,0.16,0.062015504,1.153494436
45.922,6.4525,-0.31,0.16,0.062015504,1.153494436
45.936,6.205,-0.31,0.16,0.062015504,1.153494436
45.936,6.315,-0.31,0.16,0.062015504,1.153494436
45.936,6.425,-0.31,0.16,0.062015504,1.153494436
45.936,6.4525,-0.31,0.16,0.062015504,1.153494436
45.936,6.48,-0.31,0.16,0.062015504,1.153494436
45.951,6.48,-0.31,0.16,0.062015504,1.153494436
45.951,6.5075,-0.31,0.16,0.062015504,1.153494436
45.965,6.3425,-0.31,0.16,0.062015504,1.153494436
45.965,6.5075,-0.31,0.16,0.062015504,1.153494436
45.965,6.535,-0.31,0.16,0.062015504,1.153494436
45.965,6.7275,-0.31,0.16,0.062015504,1.153494436
45.98,6.2325,-0.31,0.16,0.062015504,1.153494436
45.98,6.315,-0.31,0.16,0.062015504,1.153494436
45.98,6.4525,-0.31,0.16,0.062015504,1.153494436
45.98,6.535,-0.31,0.16,0.062015504,1.153494436
45.98,6.5625,-0.31,0.16,0.062015504,1.153494436
45.98,7.14,-0.31,0.16,0.062015504,1.153494436
45.994,6.3425,-0.31,0.16,0.062015504,1.153494436
45.994,6.425,-0.31,0.16,0.062015504,1.153494436
45.994,6.48,-0.31,0.16,0.062015504,1.153494436
45.994,6.5075,-0.31,0.16,0.062015504,1.153494436
45.994,6.535,-0.31,0.16,0.062015504,1.153494436
45.994,6.5625,-0.31,0.16,0.062015504,1.153494436
46.009,6.5075,-0.31,0.16,0.062015504,1.153494436
46.009,6.535,-0.31,0.16,0.062015504,1.153494436
46.009,6.6725,-0.31,0.16,0.062015504,1.153494436
46.009,6.7,-0.31,0.16,0.062015504,1.153494436
46.009,6.7275,-0.31,0.16,0.062015504,1.153494436
46.009,7.1675,-0.31,0.16,0.062015504,1.153494436
46.023,6.315,-0.31,0.16,0.062015504,1.153494436
46.023,6.48,-0.31,0.16,0.062015504,1.153494436
46.023,6.5625,-0.31,0.16,0.062015504,1.153494436
46.023,6.645,-0.31,0.16,0.062015504,1.153494436
46.023,6.6725,-0.31,0.16,0.062015504,1.153494436
46.023,6.7,-0.31,0.16,0.062015504,1.153494436
46.023,7.1675,-0.31,0.16,0.062015504,1.153494436
46.038,6.3425,-0.31,0.16,0.062015504,1.153494436
46.038,6.4525,-0.31,0.16,0.062015504,1.153494436
46.038,6.5075,-0.31,0.16,0.062015504,1.153494436
46.038,6.5625,-0.31,0.16,0.062015504,1.153494436
46.038,6.59,-0.31,0.16,0.062015504,1.153494436
46.038,6.7,-0.31,0.16,0.062015504,1.153494436
46.038,6.7275,-0.31,0.16,0.062015504,1.153494436
46.038,7.1675,-0.31,0.16,0.062015504,1.153494436
46.052,6.425,-0.31,0.16,0.062015504,1.153494436
46.052,6.5075,-0.31,0.16,0.062015504,1.153494436
46.052,6.535,-0.31,0.16,0.062015504,1.153494436
46.052,6.5625,-0.31,0.16,0.062015504,1.153494436
46.052,7.1675,-0.31,0.16,0.062015504,1.153494436
46.067,6.59,-0.31,0.16,0.062015504,1.153494436
